##large european countries
BYZ	= "countries/Byzantium.txt"
RUS	= "countries/Russia.txt"
PRU	= "countries/Prussia.txt"
AUS = "countries/Austria.txt"
FRA = "countries/France.txt"
PLH = "countries/Poland.txt"
#rus_autonomies
KZK = "countries/Kazakia.txt"
##itallian minors
PAP	= "countries/Papa state.txt"
SAR	= "countries/Sardinia.txt"
TUS	= "countries/Tuskania.txt"
SYC	= "countries/Sycilia.txt"
PRM = "countries/Parmamodena.txt"
##balkans
BUL = "countries/Bulgaria.txt"
VLH = "countries/Vallahia.txt"
SER = "countries/Serbia.txt"
ALB = "countries/Albania.txt"
MOL = "countries/Modovia.txt"
BOS = "countries/Bosnia.txt"
HUN = "countries/Hungary.txt"
##aravian poluostrov
KLK = "countries/Killikia.txt"
HAL = "countries/Halifat.txt"
KUR = "countries/Kurdistan.txt"
RUM = "countries/Rum.txt"
YEM = "countries/Yemen.txt"
#halifat_colonies
MDR = "countries/Maduray.txt"
TUN = "countries/Tunisia.txt"
SUM = "countries/Sumatra.txt"
##kavkaz
ARM = "countries/Armenia.txt"
AZR = "countries/Azerbaijan.txt"
##central asia
PER = "countries/Persia.txt"
##german region
SWI = "countries/Swiserland.txt"
SAK = "countries/Saksonia.txt"
BAV = "countries/Bavaria.txt"
BAD = "countries/Baden.txt"
VUR = "countries/Vurtemberg.txt"
HAN = "countries/Hannover.txt"
FRN = "countries/Frankonia.txt"
HOL = "countries/Holland.txt"
BEL = "countries/Belgium.txt"
MCL = "countries/Mecklenburg.txt"
SLG = "countries/Shlesvig-golshtein.txt"
TYR = "countries/Turingia.txt"
VES = "countries/Veser-erms.txt"
##tuman albion
CBI = "countries/Confederation of Britain Islands.txt"
IRE = "countries/Ireland.txt"
SCO = "countries/Scotland.txt"
BRI = "countries/Britania.txt"
WAL = "countries/Wales.txt"
##scandinavia
SWE = "countries/Sweden.txt"
DEN = "countries/Denmark.txt"
NOR = "countries/Norway.txt"
#north_africa
ALG = "countries/Algeria.txt"
