units = {
	fleet = {
		name = "Heimflotte"
		naval_base = 11584 
		task_force = {
			name = "Heimflotte"
			location = 11584
			ship = { name = "KGF W-1" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = AUS version_name = "Wölfe Class" } } }
			ship = { name = "KGF W-2" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = AUS version_name = "Wölfe Class" } } }
			ship = { name = "KGF W-3" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = AUS version_name = "Wölfe Class" } } }
			ship = { name = "KGF W-4" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = AUS version_name = "Wölfe Class" } } }
			ship = { name = "KGF W-5" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = AUS version_name = "Wölfe Class" } } }
			ship = { name = "KGF Z-1" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-2" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-3" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-4" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-5" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-6" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-7" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-8" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-9" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-10" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-11" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-12" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-13" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-14" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-15" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-16" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-17" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-18" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-19" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-20" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-21" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-22" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-23" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-24" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF Z-25" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = AUS version_name = "Zerstörer Class" } } }
			ship = { name = "KGF K-1" definition = light_cruiser equipment = { ship_hull_cruiser_coastal_defense_ship = { amount = 1 owner = AUS version_name = "Kreuzer Class" } } }
			ship = { name = "KGF K-2" definition = light_cruiser equipment = { ship_hull_cruiser_coastal_defense_ship = { amount = 1 owner = AUS version_name = "Kreuzer Class" } } }
			ship = { name = "KGF K-3" definition = light_cruiser equipment = { ship_hull_cruiser_coastal_defense_ship = { amount = 1 owner = AUS version_name = "Kreuzer Class" } } }
			ship = { name = "KGF K-4" definition = light_cruiser equipment = { ship_hull_cruiser_coastal_defense_ship = { amount = 1 owner = AUS version_name = "Kreuzer Class" } } }
			ship = { name = "KGF K-5" definition = light_cruiser equipment = { ship_hull_cruiser_coastal_defense_ship = { amount = 1 owner = AUS version_name = "Kreuzer Class" } } }
		}
	}
}
