l_russian:
 ace_promoted.1.t: "Летчик-ас получает повышение"
 ace_promoted.2.t: "Возвращение аса"
 ace_promoted.1.d: "Мало кто рискует собой так отчаянно, как отважные пилоты [Root.GetAdjective]их ВВС. [From.GetName] [From.GetSurname], опытный пилот с позывным [From.GetCallsign], не просто возвращается без потерь из полетов над регионом [From.GetMissionRegion], но и одерживает убедительные победы в важнейших воздушных боях.\n\nСимвол истинного [Root.GetAdjective]ого мужества, [From.GetName] получает заслуженное повышение, с восторгом встречаемое публикой. Хотя для обычных людей война — скорее, ад, чем слава, герои необходимы, чтобы следовать их примеру."
 ace_promoted.1.d_major: "Мало кто рискует собой так отчаянно, как отважные пилоты [Root.GetAdjective]их ВВС. [From.GetName] [From.GetSurname], опытный пилот с позывным [From.GetCallsign], не просто возвращается без потерь из полетов над регионом [From.GetMissionRegion], но и пилотирует свой самолет [From.GetWing] с необычайным мастерством. Недавний полет над регионом [From.GetMissionRegion] доказал, что [From.GetName] — это настоящий ас, чье участие в боевых действиях неоценимо.\n\nСимвол истинного [Root.GetAdjective]ого мужества, [From.GetName] получает вполне заслуженное повышение, с восторгом встречаемое публикой. Хотя для обычных людей война — скорее, ад, чем слава, герои необходимы, чтобы следовать их примеру."
 ace_promoted.1.a: "Смелость города берет."
 ace_died.1.t: "Гибель пилота [From.GetCallsign] над регионом [From.GetMissionRegion]"
 ace_died.1.d: "Самый известный в государстве [From.Owner.GetName] ас-[From.GetAceType] [From.GetFullName] погиб, выполняя ответственное задание над регионом [From.GetMissionRegion]. К несчастью, поскольку [From.GetCallsign] является кумиром миллионов, такая смерть не пройдет незамеченной и станет для народа тяжелым ударом.\n\nМы хотели бы найти способ скрыть это, но долгое отсутствие такой известной персоны, как [From.GetName], скоро вызвало бы подозрения. В конечном итоге, эта гибель — тоже часть великой легенды, которая надолго переживет все наши мелкие текущие невзгоды."
 ace_died.1.d_major: "Самый известный в государстве [From.Owner.GetName] ас-[From.GetAceType] [From.GetFullName] погиб при выполнении ответственного задания. Самолет [From.GetWingShort] был замечен пикирующим в клубах пламени над регионом [From.GetMissionRegion] после боя с противником. К несчастью, поскольку [From.GetCallsign] является кумиром миллионов, такая смерть не пройдет незамеченной и станет для народа тяжелым ударом.\n\nМы хотели бы найти способ скрыть это, но долгое отсутствие такой известной персоны, как [From.GetName], скоро вызвало бы подозрения. В конечном итоге, эта гибель — тоже часть великой легенды, которая надолго переживет все наши мелкие текущие невзгоды."
 ace_died.1.a: "Живая легенда — это еще лучше."
 ace_killed_by_ace.1.t: "[From.GetFullName] сбит асом с позывным [Prev.GetCallsign]"
 ace_killed_by_ace.1.d: "Пилоты, возвращавшиеся из региона [From.GetMissionRegion], сообщают, что эскадрилья [Prev.Owner.GetAdjective]их самолетов, во главе которых был знаменитый ас с позывным [Prev.GetCallsign], нацелилась уничтожить [From.GetCallsign]. Сбив несколько вражеских самолетов и несколько раз увернувшись от [Prev.Owner.GetAdjective]ого огня, [From.GetCallsign] проиграл бой пилоту [Prev.GetCallsign], который сманеврировал более умело и прицельным попаданием пробил бак с горючим. Самолет [From.GetName] [From.GetSurname] загорелся и спикировал вниз над регионом [From.GetMissionRegion], объятый пламенем.\n\nМужество пилота [From.GetFullName] всегда было примером для многих. Гибель такого национального героя тяжело ударит по [From.Owner.GetAdjective]их ВВС и станет тяжелой утратой для всей нашей нации. Пока мы скорбим, [Prev.Owner.GetName] чествует [Prev.GetFullName] как героя, и наша трагедия становится еще более горькой."
 ace_killed_by_ace.1.d_major: "Пилоты, возвращавшиеся из региона [From.GetMissionRegion], сообщают, что эскадрилья [Prev.Owner.GetAdjective]их самолетов, во главе которых был знаменитый ас с позывным [Prev.GetCallsign], атаковала их. Их основная цель — [From.GetCallsign]. Сбив несколько вражеских самолетов и несколько раз увернувшись от [Prev.Owner.GetAdjective]ого огня, [From.GetCallsign] потерпел поражение: [Prev.GetCallsign] сманеврировал более умело и прицельным попаданием пробил бак с горючим. Самолет [Prev.GetWingShort], которым управлял [From.GetName] [From.GetSurname], загорелся и спикировал вниз над регионом [From.GetMissionRegion], объятый пламенем.\n\n[From.GetFullName] всегда проявлял несравненное мужество и был примером для многих. Гибель такого национального героя тяжело ударит по [From.Owner.GetAdjective]их ВВС и станет тяжелой утратой для всей нации. Пока мы скорбим, [Prev.Owner.GetName] чествует своего героя, и то, что [Prev.GetFullName] удостаивается таких похвал, делает трагедию еще горше."
 ace_killed_by_ace.1.a: "Сокрушительная потеря для всех нас"
 ace_killed_other_ace.1.t: "[From.GetFullName] сбил аса с позывным [Prev.GetCallsign]"
 ace_killed_other_ace.1.d: "Последний полет над регионом [From.GetMissionRegion] обернулся большим успехом для [From.Owner.GetAdjective]их ВВС по разным причинам. По донесениям стало известно о героизме, который проявил [From.GetFullName], одержав верх над [Prev.Owner.GetAdjective]им пилотом по имени [Prev.GetName] [Prev.GetSurname] с позывным [Prev.GetCallsign]. [From.GetCallsign] использовал себя как приманку, чтобы [Prev.GetCallsign] угодил в ловушку и [From.Owner.GetAdjective]ие пилоты смогли уничтожить эскадрилью, которую он вел. [From.GetCallsign] обманным маневром сбил с толку [Prev.Owner.GetAdjective]ие самолеты и одним выстрелом одержал победу. [Prev.GetCallsign] сгорел над регионом [From.GetMissionRegion].\n\n[Prev.GetFullName] был грозным врагом, сбившим многих [From.Owner.GetAdjective]их пилотов. Это великая победа, она показывает все величие наших героев и их подвигов."
